muni,state,muni_fines,state_fines
Caém,BA,CAEM,BA
Caetanos,BA,,
Caetité,BA,CAETITE,BA
Cafarnaum,BA,,
Cairu,BA,CAIRU,BA
Caldeirão Grande,BA,CALDEIRAO GRANDE,BA
Camacan,BA,CAMACAN,BA
Camaçari,BA,CAMACARI,BA
Camamu,BA,CAMAMU,BA
Campo Alegre de Lourdes,BA,CAMPO ALEGRE DE LOURDES,BA
Campo Formoso,BA,CAMPO FORMOSO,BA
Canápolis,BA,CANAPOLIS,BA
Canarana,BA,CANARANA,BA
Canavieiras,BA,CANAVIEIRAS,BA
Candeal,BA,CANDEAL,BA
Candeias,BA,CANDEIAS,BA
Candiba,BA,CANDIBA,BA
Cândido Sales,BA,CANDIDO SALES,BA
Cansanção,BA,CANSANCAO,BA
Canudos,BA,CANUDOS,BA
Capela do Alto Alegre,BA,CAPELA DO ALTO ALEGRE,BA
Capim Grosso,BA,CAPIM GROSSO,BA
Caraíbas,BA,CARAIBAS,BA
Caravelas,BA,CARAVELAS,BA
Cardeal da Silva,BA,CARDEAL DA SILVA,BA
Carinhanha,BA,CARINHANHA,BA
Casa Nova,BA,CASA NOVA,BA
Castro Alves,BA,CASTRO ALVES,BA
Catolândia,BA,CATOLANDIA,BA
Catu,BA,CATU,BA
Caturama,BA,CATURAMA,BA
Central,BA,CENTRAL,BA
Chorrochó,BA,CHORROCHO,BA
Cícero Dantas,BA,CICERO DANTAS,BA
Cipó,BA,CIPO,BA
Coaraci,BA,COARACI,BA
Cocos,BA,COCOS,BA
Conceição da Feira,BA,CONCEICAO DA FEIRA,BA
Conceição do Almeida,BA,CONCEICAO DO ALMEIDA,BA
Conceição do Coité,BA,CONCEICAO DO COITE,BA
Conceição do Jacuípe,BA,CONCEICAO DO JACUIPE,BA
Conde,BA,CONDE,BA
Condeúba,BA,CONDEUBA,BA
Contendas do Sincorá,BA,CONTENDAS DO SINCORA,BA
Coração de Maria,BA,,
Cordeiros,BA,CORDEIROS,BA
Coribe,BA,CORIBE,BA
Coronel João Sá,BA,CORONEL JOAO SA,BA
Correntina,BA,CORRENTINA,BA
Cotegipe,BA,COTEGIPE,BA
Cravolândia,BA,CRAVOLANDIA,BA
Crisópolis,BA,CRISOPOLIS,BA
Cristópolis,BA,CRISTOPOLIS,BA
Cruz das Almas,BA,CRUZ DAS ALMAS,BA
Curaçá,BA,CURACA,BA
Dário Meira,BA,DARIO MEIRA,BA
Dias d'Ávila,BA,DIAS D'AVILA,BA
Dom Basílio,BA,DOM BASILIO,BA
Dom Macedo Costa,BA,DOM MACEDO COSTA,BA
Elísio Medrado,BA,ELISIO MEDRADO,BA
Encruzilhada,BA,ENCRUZILHADA,BA
Entre Rios,BA,ENTRE RIOS,BA
Érico Cardoso,BA,ERICO CARDOSO,BA
Esplanada,BA,ESPLANADA,BA
Euclides da Cunha,BA,EUCLIDES DA CUNHA,BA
Eunápolis,BA,EUNAPOLIS,BA
Fátima,BA,FATIMA,BA
Feira da Mata,BA,FEIRA DA MATA,BA
Feira de Santana,BA,FEIRA DE SANTANA,BA
Filadélfia,BA,FILADELFIA,BA
Firmino Alves,BA,FIRMINO ALVES,BA
Floresta Azul,BA,FLORESTA AZUL,BA
Formosa do Rio Preto,BA,FORMOSA DO RIO PRETO,BA
Gandu,BA,GANDU,BA
Gavião,BA,GAVIAO,BA
Gentio do Ouro,BA,GENTIO DO OURO,BA
Glória,BA,GLORIA,BA
Gongogi,BA,GONGOGI,BA
Governador Mangabeira,BA,GOVERNADOR MANGABEIRA,BA
Guajeru,BA,,
Guanambi,BA,GUANAMBI,BA
Guaratinga,BA,GUARATINGA,BA
Heliópolis,BA,HELIOPOLIS,BA
Iaçu,BA,IACU,BA
Ibiassucê,BA,IBIASSUCE,BA
Ibicaraí,BA,IBICARAI,BA
Ibicoara,BA,IBICOARA,BA
Ibicuí,BA,IBICUI,BA
Ibipeba,BA,IBIPEBA,BA
Ibipitanga,BA,IBIPITANGA,BA
Ibiquera,BA,IBIQUERA,BA
Ibirapitanga,BA,IBIRAPITANGA,BA
Ibirapuã,BA,IBIRAPUA,BA
Ibirataia,BA,IBIRATAIA,BA
Ibitiara,BA,IBITIARA,BA
Ibititá,BA,IBITITA,BA
Ibotirama,BA,IBOTIRAMA,BA
Ichu,BA,ICHU,BA
Igaporã,BA,IGAPORA,BA
Igrapiúna,BA,IGRAPIUNA,BA
Iguaí,BA,IGUAI,BA
Ilhéus,BA,ILHEUS,BA
Inhambupe,BA,INHAMBUPE,BA
Ipecaetá,BA,IPECAETA,BA
Ipiaú,BA,IPIAU,BA
Ipirá,BA,IPIRA,BA
Ipupiara,BA,IPUPIARA,BA
Irajuba,BA,IRAJUBA,BA
Iramaia,BA,IRAMAIA,BA
Iraquara,BA,IRAQUARA,BA
Irará,BA,IRARA,BA
Irecê,BA,IRECE,BA
Itabela,BA,ITABELA,BA
Itaberaba,BA,ITABERABA,BA
Itabuna,BA,ITABUNA,BA
Itacaré,BA,ITACARE,BA
Itaeté,BA,ITAETE,BA
Itagi,BA,ITAGI,BA
Itagibá,BA,ITAGIBA,BA
Itagimirim,BA,ITAGIMIRIM,BA
Itaguaçu da Bahia,BA,ITAGUACU DA BAHIA,BA
Itaju do Colônia,BA,ITAJU DO COLONIA,BA
Itajuípe,BA,ITAJUIPE,BA
Itamaraju,BA,ITAMARAJU,BA
Itamari,BA,ITAMARI,BA
Itambé,BA,ITAMBE,BA
Itanagra,BA,ITANAGRA,BA
Itanhém,BA,ITANHEM,BA
Itaparica,BA,ITAPARICA,BA
Itapé,BA,ITAPE,BA
Itapebi,BA,ITAPEBI,BA
Itapetinga,BA,ITAPETINGA,BA
Itapicuru,BA,ITAPICURU,BA
Itapitanga,BA,ITAPITANGA,BA
Itaquara,BA,ITAQUARA,BA
Itarantim,BA,ITARANTIM,BA
Itatim,BA,ITATIM,BA
Itiruçu,BA,,
Itiúba,BA,ITIUBA,BA
Itororó,BA,ITORORO,BA
Ituaçu,BA,ITUACU,BA
Ituberá,BA,ITUBERA,BA
Iuiu,BA,IUIU,BA
Jaborandi,BA,JABORANDI,BA
Jacaraci,BA,JACARACI,BA
Jacobina,BA,JACOBINA,BA
Jaguaquara,BA,JAGUAQUARA,BA
Jaguarari,BA,JAGUARARI,BA
Jaguaripe,BA,JAGUARIPE,BA
Jandaíra,BA,JANDAIRA,BA
Jequié,BA,JEQUIE,BA
Jeremoabo,BA,JEREMOABO,BA
Jiquiriçá,BA,JIQUIRICA,BA
Jitaúna,BA,JITAUNA,BA
João Dourado,BA,JOAO DOURADO,BA
Juazeiro,BA,JUAZEIRO,BA
Jucuruçu,BA,JUCURUCU,BA
Jussara,BA,JUSSARA,BA
Jussari,BA,JUSSARI,BA
Jussiape,BA,,
Lafaiete Coutinho,BA,,
Lagoa Real,BA,LAGOA REAL,BA
Laje,BA,LAJE,BA
Lajedão,BA,LAJEDAO,BA
Lajedinho,BA,LAJEDINHO,BA
Lajedo do Tabocal,BA,LAJEDO DO TABOCAL,BA
Lamarão,BA,LAMARAO,BA
Lapão,BA,LAPAO,BA
Lauro de Freitas,BA,LAURO DE FREITAS,BA
Lençóis,BA,LENCOIS,BA
Licínio de Almeida,BA,LICINIO DE ALMEIDA,BA
Livramento de Nossa Senhora,BA,LIVRAMENTO DE NOSSA SENHORA,BA
Luís Eduardo Magalhães,BA,LUIS EDUARDO MAGALHAES,BA
Macajuba,BA,MACAJUBA,BA
Macarani,BA,MACARANI,BA
Macaúbas,BA,MACAUBAS,BA
Macururé,BA,MACURURE,BA
Madre de Deus,BA,MADRE DE DEUS,BA
Maetinga,BA,MAETINGA,BA
Maiquinique,BA,MAIQUINIQUE,BA
Mairi,BA,MAIRI,BA
Malhada,BA,MALHADA,BA
Malhada de Pedras,BA,MALHADA DE PEDRAS,BA
Manoel Vitorino,BA,MANOEL VITORINO,BA
Mansidão,BA,MANSIDAO,BA
Maracás,BA,MARACAS,BA
Maragogipe,BA,MARAGOGIPE,BA
Maraú,BA,MARAU,BA
Marcionílio Souza,BA,MARCIONILIO SOUZA,BA
Mascote,BA,MASCOTE,BA
Mata de São João,BA,MATA DE SAO JOAO,BA
Matina,BA,MATINA,BA
Medeiros Neto,BA,MEDEIROS NETO,BA
Miguel Calmon,BA,MIGUEL CALMON,BA
Milagres,BA,MILAGRES,BA
Mirangaba,BA,MIRANGABA,BA
Mirante,BA,,
Monte Santo,BA,MONTE SANTO,BA
Morpará,BA,MORPARA,BA
Morro do Chapéu,BA,MORRO DO CHAPEU,BA
Mortugaba,BA,MORTUGABA,BA
Mucugê,BA,MUCUGE,BA
Mucuri,BA,MUCURI,BA
Mulungu do Morro,BA,MULUNGU DO MORRO,BA
Mundo Novo,BA,MUNDO NOVO,BA
Muniz Ferreira,BA,MUNIZ FERREIRA,BA
Muquém do São Francisco,BA,MUQUEM DE SAO FRANCISCO,BA
Muritiba,BA,MURITIBA,BA
Mutuípe,BA,MUTUIPE,BA
Nazaré,BA,NAZARE,BA
Nilo Peçanha,BA,NILO PECANHA,BA
Nordestina,BA,NORDESTINA,BA
Nova Canaã,BA,NOVA CANAA,BA
Nova Fátima,BA,NOVA FATIMA,BA
Nova Ibiá,BA,NOVA IBIA,BA
Nova Itarana,BA,NOVA ITARANA,BA
Nova Redenção,BA,NOVA REDENCAO,BA
Nova Soure,BA,NOVA SOURE,BA
Nova Viçosa,BA,NOVA VICOSA,BA
Novo Horizonte,BA,NOVO HORIZONTE,BA
Novo Triunfo,BA,NOVO TRIUNFO,BA
Olindina,BA,OLINDINA,BA
Oliveira dos Brejinhos,BA,OLIVEIRA DOS BREJINHOS,BA
Ouriçangas,BA,OURICANGAS,BA
Ourolândia,BA,OUROLANDIA,BA
Palmas de Monte Alto,BA,PALMAS DE MONTE ALTO,BA
Palmeiras,BA,PALMEIRAS,BA
Paramirim,BA,PARAMIRIM,BA
Paratinga,BA,PARATINGA,BA
Paripiranga,BA,PARIPIRANGA,BA
Pau Brasil,BA,PAU BRASIL,BA
Paulo Afonso,BA,PAULO AFONSO,BA
Pé de Serra,BA,PE DE SERRA,BA
Pedrão,BA,PEDRAO,BA
Pedro Alexandre,BA,PEDRO ALEXANDRE,BA
Piatã,BA,PIATA,BA
Pilão Arcado,BA,PILAO ARCADO,BA
Pindaí,BA,PINDAI,BA
Pindobaçu,BA,PINDOBACU,BA
Pintadas,BA,PINTADAS,BA
Piraí do Norte,BA,PIRAI DO NORTE,BA
Piripá,BA,PIRIPA,BA
Piritiba,BA,PIRITIBA,BA
Planaltino,BA,PLANALTINO,BA
Planalto,BA,PLANALTO,BA
Poções,BA,POCOES,BA
Pojuca,BA,POJUCA,BA
Ponto Novo,BA,PONTO NOVO,BA
Porto Seguro,BA,PORTO SEGURO,BA
Potiraguá,BA,POTIRAGUA,BA
Prado,BA,PRADO,BA
Presidente Dutra,BA,PRESIDENTE DUTRA,BA
Presidente Jânio Quadros,BA,PRESIDENTE JANIO QUADROS,BA
Presidente Tancredo Neves,BA,PRESIDENTE TANCREDO NEVES,BA
Queimadas,BA,QUEIMADAS,BA
Quijingue,BA,QUIJINGUE,BA
Quixabeira,BA,QUIXABEIRA,BA
Rafael Jambeiro,BA,RAFAEL JAMBEIRO,BA
Remanso,BA,REMANSO,BA
Retirolândia,BA,RETIROLANDIA,BA
Riachão das Neves,BA,RIACHAO DAS NEVES,BA
Riachão do Jacuípe,BA,RIACHAO DO JACUIPE,BA
Riacho de Santana,BA,RIACHO DE SANTANA,BA
Ribeira do Amparo,BA,RIBEIRA DO AMPARO,BA
Ribeira do Pombal,BA,RIBEIRA DO POMBAL,BA
Ribeirão do Largo,BA,RIBEIRAO DO LARGO,BA
Rio de Contas,BA,RIO DE CONTAS,BA
Rio do Antônio,BA,RIO DO ANTONIO,BA
Rio do Pires,BA,RIO DO PIRES,BA
Rio Real,BA,RIO REAL,BA
Rodelas,BA,RODELAS,BA
Ruy Barbosa,BA,RUY BARBOSA,BA
Salinas da Margarida,BA,SALINAS DA MARGARIDA,BA
Salvador,BA,SALVADOR,BA
Santa Bárbara,BA,SANTA BARBARA,BA
Santa Brígida,BA,SANTA BRIGIDA,BA
Santa Cruz Cabrália,BA,SANTA CRUZ CABRALIA,BA
Santa Cruz da Vitória,BA,SANTA CRUZ DA VITORIA,BA
Santa Inês,BA,SANTA INES,BA
Santa Luzia,BA,SANTA LUZIA,BA
Santa Maria da Vitória,BA,SANTA MARIA DA VITORIA,BA
Santa Rita de Cássia,BA,SANTA RITA DE CASSIA,BA
Santa Terezinha,BA,SANTA TERESINHA,BA
Santaluz,BA,SANTALUZ,BA
Santana,BA,SANTANA,BA
Santanópolis,BA,SANTANOPOLIS,BA
Santo Amaro,BA,SANTO AMARO,BA
Santo Antônio de Jesus,BA,SANTO ANTONIO DE JESUS,BA
Santo Estêvão,BA,SANTO ESTEVAO,BA
São Desidério,BA,SAO DESIDERIO,BA
São Domingos,BA,SAO DOMINGOS,BA
São Felipe,BA,SAO FELIPE,BA
São Félix,BA,SAO FELIX,BA
São Félix do Coribe,BA,SAO FELIX DO CORIBE,BA
São Francisco do Conde,BA,SAO FRANCISCO DO CONDE,BA
São Gabriel,BA,SAO GABRIEL,BA
São Gonçalo dos Campos,BA,SAO GONCALO DOS CAMPOS,BA
São José da Vitória,BA,SAO JOSE DA VITORIA,BA
São José do Jacuípe,BA,,
São Miguel das Matas,BA,SAO MIGUEL DAS MATAS,BA
São Sebastião do Passé,BA,SAO SEBASTIAO DO PASSE,BA
Sapeaçu,BA,SAPEACU,BA
Sátiro Dias,BA,,
Saubara,BA,SAUBARA,BA
Saúde,BA,SAUDE,BA
Seabra,BA,SEABRA,BA
Sebastião Laranjeiras,BA,SEBASTIAO LARANJEIRAS,BA
Senhor do Bonfim,BA,SENHOR DO BONFIM,BA
Sento Sé,BA,SENTO SE,BA
Serra do Ramalho,BA,SERRA DO RAMALHO,BA
Serra Dourada,BA,SERRA DOURADA,BA
Serra Preta,BA,SERRA PRETA,BA
Serrinha,BA,SERRINHA,BA
Serrolândia,BA,SERROLANDIA,BA
Simões Filho,BA,SIMOES FILHO,BA
Sítio do Mato,BA,SITIO DO MATO,BA
Sítio do Quinto,BA,SITIO DO QUINTO,BA
Sobradinho,BA,SOBRADINHO,BA
Souto Soares,BA,SOUTO SOARES,BA
Tabocas do Brejo Velho,BA,TABOCAS DO BREJO VELHO,BA
Tanhaçu,BA,TANHACU,BA
Tanque Novo,BA,TANQUE NOVO,BA
Tanquinho,BA,,
Taperoá,BA,TAPEROA,BA
Tapiramutá,BA,TAPIRAMUTA,BA
Teixeira de Freitas,BA,TEIXEIRA DE FREITAS,BA
Teodoro Sampaio,BA,,
Teofilândia,BA,TEOFILANDIA,BA
Teolândia,BA,TEOLANDIA,BA
Terra Nova,BA,TERRA NOVA,BA
Tremedal,BA,TREMEDAL,BA
Tucano,BA,TUCANO,BA
Uauá,BA,UAUA,BA
Ubaíra,BA,UBAIRA,BA
Ubaitaba,BA,UBAITABA,BA
Ubatã,BA,UBATA,BA
Uibaí,BA,UIBAI,BA
Umburanas,BA,UMBURANAS,BA
Una,BA,UNA,BA
Urandi,BA,URANDI,BA
Uruçuca,BA,URUCUCA,BA
Utinga,BA,UTINGA,BA
Valença,BA,VALENCA,BA
Valente,BA,,
Várzea da Roça,BA,VARZEA DA ROCA,BA
Várzea do Poço,BA,VARZEA DO POCO,BA
Várzea Nova,BA,VARZEA NOVA,BA
Varzedo,BA,VARZEDO,BA
Vera Cruz,BA,VERA CRUZ,BA
Vereda,BA,VEREDA,BA
Vitória da Conquista,BA,VITORIA DA CONQUISTA,BA
Wagner,BA,WAGNER,BA
Wanderley,BA,WANDERLEY,BA
Wenceslau Guimarães,BA,WENCESLAU GUIMARAES,BA
Xique-Xique,BA,XIQUE-XIQUE,BA
